1.600000000000000000e+01, 3.518610038688334274e-02, 2.224824199671749704e-04
1.700000000000000000e+01, 3.356500373701308548e-02, 2.127028068795466006e-04
1.800000000000000000e+01, 3.201989172042098153e-02, 2.036125447678309582e-04
1.900000000000000000e+01, 3.054387257875827363e-02, 1.947805258839705410e-04
2.000000000000000000e+01, 2.913549678816139410e-02, 1.859403710654308219e-04
2.100000000000000000e+01, 2.779328567496126487e-02, 1.775023408177705533e-04
2.200000000000000000e+01, 2.651403164526700343e-02, 1.692648441407130025e-04
2.300000000000000000e+01, 2.529489246688705270e-02, 1.612106972872579186e-04
2.400000000000000000e+01, 2.413364470664227865e-02, 1.538069268530618133e-04
2.500000000000000000e+01, 2.302796979098497773e-02, 1.469401891991814675e-04
2.600000000000000000e+01, 2.197402867303705279e-02, 1.403499818923147774e-04
2.700000000000000000e+01, 2.097049093381867998e-02, 1.343285032079418058e-04
2.800000000000000000e+01, 2.001377547506483917e-02, 1.287154268380382794e-04
2.900000000000000000e+01, 1.910163886682242351e-02, 1.230206647108829051e-04
3.000000000000000000e+01, 1.823397606996664602e-02, 1.176899277647975136e-04
3.100000000000000000e+01, 1.740749960026067786e-02, 1.128774039732084787e-04
3.200000000000000000e+01, 1.661803241602675604e-02, 1.081019518046507071e-04
3.300000000000000000e+01, 1.586574663262113605e-02, 1.031810968486163664e-04
3.400000000000000000e+01, 1.514992416571867007e-02, 9.878352257023569278e-05
3.500000000000000000e+01, 1.446766666071586799e-02, 9.429539512827324462e-05
3.600000000000000000e+01, 1.381725744052304632e-02, 8.990121750021013564e-05
3.700000000000000000e+01, 1.319720145558535458e-02, 8.568623369374578434e-05
3.800000000000000000e+01, 1.260672498474953510e-02, 8.181716642091710595e-05
3.900000000000000000e+01, 1.204491796840468330e-02, 7.834394274317897828e-05
4.000000000000000000e+01, 1.151022735231878313e-02, 7.481796130001554040e-05
4.100000000000000000e+01, 1.100140568375933964e-02, 7.128780321067654214e-05
4.200000000000000000e+01, 1.051758767556349589e-02, 6.792053140611357129e-05
4.300000000000000000e+01, 1.005819411221536494e-02, 6.471287845724363308e-05
4.400000000000000000e+01, 9.622061588421158482e-03, 6.187052170624801519e-05
4.500000000000000000e+01, 9.207215626809981887e-03, 5.926891111354610261e-05
4.600000000000000000e+01, 8.812714419658609216e-03, 5.685841253857156478e-05
4.700000000000000000e+01, 8.437517458414365776e-03, 5.443139941673356855e-05
4.800000000000000000e+01, 8.080799875074002464e-03, 5.212256735526639857e-05
4.900000000000000000e+01, 7.741794372802883809e-03, 4.990178668147166263e-05
5.000000000000000000e+01, 7.420310448373741187e-03, 4.778511774123352188e-05
5.100000000000000000e+01, 7.115278551154700926e-03, 4.576093193873021576e-05
5.200000000000000000e+01, 6.826832919514995088e-03, 4.393275719186720926e-05
5.300000000000000000e+01, 6.553761926952968338e-03, 4.220296184009345258e-05
5.400000000000000000e+01, 6.295664773070478587e-03, 4.058374223155222852e-05
5.500000000000000000e+01, 6.052073449938944437e-03, 3.911067176806158423e-05
5.600000000000000000e+01, 5.821826313312940260e-03, 3.775733316085116579e-05
5.700000000000000000e+01, 5.604330125398161722e-03, 3.646380705333593733e-05
5.800000000000000000e+01, 5.399383297028992335e-03, 3.519302161372230009e-05
5.900000000000000000e+01, 5.206476148465450683e-03, 3.396694903767162333e-05
6.000000000000000000e+01, 5.025242199620088765e-03, 3.279027633518322035e-05
6.100000000000000000e+01, 4.854862222774468730e-03, 3.166740969434792561e-05
6.200000000000000000e+01, 4.695119455334085742e-03, 3.054223216625049855e-05
6.300000000000000000e+01, 4.546019254837352710e-03, 2.950163333681467498e-05
